"from","to","name","edge_id","weight","length","width","Volume","type","e_distance","in_mst","color"
1,6,"015_Wc_2",1,129.946716308594,93.0514984130859,1.69242346286774,209.329925537109,"Main",86.5122525652572,TRUE,"#2B0593"
2,22,"015_Wc_2",2,15.611270904541,159.033004760742,6.38343572616577,5089.62890625,"Main",139.727797228268,TRUE,"#6300A7"
3,14,"015_Wc_2",3,8.90886878967285,100.382774353027,6.7134895324707,3553.41333007812,"Main",81.9662419353598,TRUE,"#6700A8"
4,11,"015_Wc_2",4,15.6464328765869,89.1253356933594,4.77334594726562,1594.91259765625,"Main",80.0588250789572,TRUE,"#5102A3"
5,13,"015_Wc_2",5,13.0177669525146,74.4627685546875,4.78334093093872,1338.10961914062,"Main",62.4236281175014,TRUE,"#5102A3"
6,13,"015_Wc_2",1038,14.5486173629761,191.026443481445,7.24712705612183,7879.79833984375,"Main",171.816542422051,TRUE,"#6D00A8"
6,51,"015_Wc_2",1039,27.8628673553467,323.326354980469,6.81298828125,11787.0810546875,"Main",291.700746949587,FALSE,"#6800A8"
7,31,"015_Wc_2",6,36.379020690918,240.566543579102,5.14306592941284,4997.68994140625,"Main",218.774618776784,TRUE,"#5501A4"
8,12,"015_Wc_2",7,16.9764308929443,121.931930541992,5.36000919342041,2751.30297851562,"Main",104.358181764014,TRUE,"#5801A4"
9,16,"015_Wc_2",8,28.9313297271729,229.830139160156,5.63701629638672,5735.8193359375,"Main",187.342606814747,TRUE,"#5B01A5"
10,17,"015_Wc_2",9,16.7909507751465,53.2820472717285,3.56272912025452,531.173522949219,"Main",49.7906951925748,TRUE,"#43039E"
11,17,"015_Wc_2",1040,34.0656433105469,131.226272583008,3.92538356781006,1588.08911132812,"Main",119.681926938523,TRUE,"#48039F"
11,19,"015_Wc_2",12,18.1656150817871,53.5425605773926,3.43363809585571,495.790344238281,"Main",50.3275371844819,TRUE,"#42039D"
12,18,"015_Wc_2",11,14.243649482727,183.434661865234,7.17728281021118,7421.49560546875,"Main",162.367633457813,TRUE,"#6D00A8"
12,29,"015_Wc_2",1041,3.00370407104492,148.925537109375,14.0827026367188,23196.958984375,"Main",137.742291124843,TRUE,"#B22B8F"
13,26,"015_Wc_2",1042,4.61591339111328,137.407623291016,10.9120559692383,12850.318359375,"Main",128.506755068629,TRUE,"#9511A1"
14,16,"015_Wc_2",1043,2.74891448020935,81.7940521240234,10.9096355438232,7645.9609375,"Main",75.5691395962095,TRUE,"#9511A1"
14,53,"015_Wc_2",1044,13.6295471191406,335.504821777344,9.92290115356445,25945.734375,"Main",299.058862482916,TRUE,"#8B0AA5"
15,27,"015_Wc_2",10,24.3287811279297,80.0914840698242,3.62879967689514,828.327758789062,"Main",72.6222692446466,TRUE,"#44039E"
16,25,"015_Wc_2",1045,2.53698682785034,80.0151748657227,11.2319993972778,7928.23291015625,"Main",76.9784713117499,TRUE,"#99149F"
17,33,"015_Wc_2",1046,24.5318202972412,151.257034301758,4.96618509292603,2929.8896484375,"Main",137.961625617686,TRUE,"#5302A3"
20,25,"015_Wc_2",13,46.252685546875,527.020751953125,6.75111293792725,18865.5,"Main",488.459635518953,TRUE,"#6800A8"
21,32,"015_Wc_2",14,12.4545459747314,109.232421875,5.92300128936768,3009.712890625,"Main",101.849443089687,TRUE,"#5F01A6"
22,24,"015_Wc_2",1048,0.883813679218292,18.1440010070801,9.06183528900146,1170.18701171875,"Main",18.1440010070801,TRUE,"#8204A7"
22,26,"015_Wc_2",1047,15.2364330291748,268.373321533203,8.39378833770752,14850.642578125,"Main",146.488125877006,FALSE,"#7A02A8"
23,27,"015_Wc_2",15,20.4642524719238,81.3493347167969,3.98757672309875,1015.92578125,"Main",75.3465504829456,TRUE,"#4803A0"
24,31,"015_Wc_2",1049,2.99088621139526,85.1991806030273,10.6745052337646,7624.66552734375,"Main",81.3904551779554,TRUE,"#920FA2"
24,36,"015_Wc_2",1050,11.6674013137817,107.008834838867,6.05693244934082,3083.29418945312,"Main",100.01896053973,FALSE,"#6101A6"
25,30,"015_Wc_2",1051,4.6300778388977,57.3924140930176,7.0414662361145,2234.96411132812,"Main",53.3725522323645,TRUE,"#6B00A8"
26,40,"015_Wc_2",1052,3.10716032981873,117.561058044434,12.3021183013916,13973.7568359375,"Main",110.94244788198,TRUE,"#A21D9A"
27,39,"015_Wc_2",1053,14.2258243560791,88.6806106567383,4.99350643157959,1736.71984863281,"Main",82.3342558359218,TRUE,"#5402A3"
28,42,"015_Wc_2",16,17.237434387207,101.380111694336,4.85031652450562,1873.19421386719,"Main",95.3771424271254,TRUE,"#5202A3"
29,34,"015_Wc_2",1055,17.5413265228271,178.95588684082,6.38810110092163,5735.60791015625,"Main",164.198635191641,TRUE,"#6400A7"
29,35,"015_Wc_2",1054,0.886564612388611,42.2851295471191,13.8123836517334,6335.99462890625,"Main",39.5651650057249,TRUE,"#B02991"
30,49,"015_Wc_2",21,13.0742893218994,141.962661743164,6.59034299850464,4842.6162109375,"Main",126.398201063581,TRUE,"#6600A8"
30,52,"015_Wc_2",1056,24.5475597381592,228.051300048828,6.09596014022827,6655.89794921875,"Main",209.198673530481,FALSE,"#6101A6"
31,42,"015_Wc_2",1057,1.99723625183105,59.9844131469727,10.9606037139893,5659.75,"Main",55.6526020043689,TRUE,"#9511A1"
32,33,"015_Wc_2",1059,16.1985206604004,169.661529541016,6.47267818450928,5582.6611328125,"Main",150.425337996806,TRUE,"#6500A7"
32,34,"015_Wc_2",1058,3.86810278892517,67.5762100219727,8.35945415496826,3708.85205078125,"Main",62.6921171568959,TRUE,"#7A02A8"
33,41,"015_Wc_2",1060,14.6765518188477,85.0149765014648,4.81355237960815,1547.09411621094,"Main",78.8326010224754,TRUE,"#5202A3"
34,43,"015_Wc_2",1061,5.61964750289917,38.4352798461914,5.23046731948853,825.849548339844,"Main",36.2879976229574,TRUE,"#5601A4"
35,43,"015_Wc_2",1063,33.2714157104492,211.501953125,5.04256534576416,4223.8388671875,"Main",185.033223459643,FALSE,"#5402A3"
35,45,"015_Wc_2",1062,1.44633138179779,75.7206115722656,14.4711532592773,12454.041015625,"Main",69.7435839777098,TRUE,"#B52F8C"
36,37,"015_Wc_2",17,4.29456615447998,13.588924407959,3.55764722824097,135.0830078125,"Main",12.960000527531,TRUE,"#43039E"
36,40,"015_Wc_2",1064,7.29788064956665,30.8434906005859,4.11162376403809,409.524749755859,"Main",29.5533486163606,TRUE,"#4A03A0"
38,60,"015_Wc_2",18,75.4993667602539,186.026657104492,3.13939476013184,1439.98156738281,"Main",148.107340435821,TRUE,"#3E049C"
39,41,"015_Wc_2",1065,5.10569286346436,36.0274887084961,5.31275320053101,798.662292480469,"Main",33.7955449933929,TRUE,"#5701A4"
39,48,"015_Wc_2",1066,21.0199851989746,159.477752685547,5.50888681411743,3801.17333984375,"Main",140.279661658543,TRUE,"#5A01A5"
40,59,"015_Wc_2",1067,3.89067625999451,132.928833007812,11.6903371810913,14268.001953125,"Main",122.922023311234,TRUE,"#9D189E"
41,73,"015_Wc_2",1068,40.5471839904785,239.12451171875,4.85692834854126,4430.3427734375,"Main",206.402003432828,FALSE,"#5202A3"
42,50,"015_Wc_2",1069,2.36681818962097,58.2818489074707,9.92462730407715,4508.703125,"Main",54.1225474274543,TRUE,"#8B0AA5"
43,44,"015_Wc_2",19,2.75888848304749,14.6625661849976,4.61071109771729,244.813690185547,"Main",14.6625661849976,TRUE,"#4F02A2"
45,46,"015_Wc_2",1070,0.147748753428459,7.33128309249878,14.0882835388184,1142.84155273438,"Main",7.33128309249878,TRUE,"#B22B8F"
45,66,"015_Wc_2",1071,41.5023384094238,271.410034179688,5.11454105377197,5576.08154296875,"Main",253.380429602772,TRUE,"#5501A4"
46,51,"015_Wc_2",1072,13.8048229217529,164.845947265625,6.91120386123657,6184.0869140625,"Main",128.245074076537,FALSE,"#6900A8"
