"Degrees","Accessibility","node_ID","angle","coordinate_x","coordinate_y"
1,215.397778362036,1,NA,-1,-0.724478982691628
1,86.0995084941387,2,NA,-0.99948625738505,-0.568350406216884
1,84.516162365675,3,NA,-0.99948625738505,-0.503355704697987
1,175.411807790399,4,NA,-0.9989725147701,-0.842458495231367
1,83.9202116429806,5,NA,-0.9989725147701,-0.642529141646061
3,85.451062053442,6,93.9238891601562,-0.99743128692525,-0.701165665842459
1,102.992558389902,7,NA,-0.9969175443103,-0.54433062522077
1,83.5400962978601,8,NA,-0.996403801695351,-0.759802190038856
1,107.287537783384,9,NA,-0.993835088620601,-0.453196750264924
1,142.490682378411,10,NA,-0.991780118160801,-0.901095019427764
3,159.765374913812,11,89.0491180419922,-0.991266375545852,-0.86153302719887
3,66.5636654049158,12,93.3997192382812,-0.991266375545852,-0.787354291769693
3,70.9024446904659,13,94.4608459472656,-0.990752632930902,-0.655245496291063
3,75.6072935760021,14,87.3760604858398,-0.990238890315952,-0.521723772518545
1,159.504761472344,15,NA,-0.984587721551503,-0.91451783821971
3,78.3562080562115,16,83.5391387939453,-0.984587721551503,-0.502649240551042
3,125.699731603265,17,81.0850677490234,-0.984073978936553,-0.89261744966443
1,80.8073148876429,18,NA,-0.982019008476753,-0.829742140586365
1,177.930989995599,19,NA,-0.981505265861803,-0.858707170611091
1,127.145880430937,20,NA,-0.980477780631903,-0.354998233839633
1,97.4239366203547,21,NA,-0.979964038016954,-0.842458495231367
3,70.4882375895977,22,83.4441528320312,-0.978422810172104,-0.593076651359943
1,155.640232816339,23,NA,-0.976881582327254,-0.932179441893324
3,69.6044239103794,24,83.6598052978516,-0.974826611867454,-0.593076651359943
3,80.8931948840618,25,96.1155090332031,-0.973799126637555,-0.487813493465207
3,66.2865312993526,26,70.3352661132812,-0.971744156177755,-0.631932179441893
3,135.175980344415,27,73.3612060546875,-0.970202928332905,-0.913811374072766
1,81.8537358343601,28,NA,-0.966092987413306,-0.554927587424938
3,63.5599613338709,29,89.4967880249023,-0.965579244798356,-0.774637937124691
3,85.5232727229595,30,96.4868240356445,-0.964551759568456,-0.494878134934652
3,66.6135376989841,31,76.0270690917969,-0.961983046493707,-0.579653832567997
3,84.9693906456232,32,84.8613204956055,-0.960441818648857,-0.835393853761922
3,101.167911306024,33,93.6771850585938,-0.959414333418957,-0.876368774284705
3,81.101287856698,34,87.8900604248047,-0.958900590804007,-0.818438714235253
3,62.6733967214823,35,100.619659423828,-0.958900590804007,-0.768986223949135
3,70.4772516191006,36,90,-0.957873105574107,-0.607205934298834
1,74.7718177735806,37,NA,-0.956331877729258,-0.604380077711056
1,237.703074231744,38,NA,-0.955818135114308,-0.996467679265277
3,120.950155988336,39,84.4724655151367,-0.955818135114308,-0.903214411868598
3,63.1793709695339,40,90,-0.954276907269458,-0.613564111621335
3,115.844463124871,41,104.599624633789,-0.952221936809658,-0.895443306252208
3,64.6163014471531,42,84.7556762695312,-0.952221936809658,-0.572589191098552
3,86.7209353595972,43,88.3897018432617,-0.951708194194708,-0.818438714235253
1,89.4798238426447,44,NA,-0.949653223734909,-0.821264570823031
3,61.2270653396845,45,85.7469024658203,-0.948625738505009,-0.756269869304133
3,61.079316586256,46,77.6278457641602,-0.947598253275109,-0.754856941010244
1,92.2193832695484,47,NA,-0.94348831235551,-0.315436241610738
3,141.97014118731,48,88.0392913818359,-0.94297456974056,-0.937124690921936
1,98.5975620448589,49,NA,-0.94246082712561,-0.478629459554928
3,62.2494832575321,50,99.5445251464844,-0.94194708451066,-0.568350406216884
3,62.7018311619759,51,64.7222900390625,-0.94143334189571,-0.720946661956906
3,73.07650873065,52,85.1354904174805,-0.94143334189571,-0.542211232779936
3,61.9777464568615,53,85.7108459472656,-0.94091959928076,-0.566937477922995
3,62.3361983001232,54,104.743560791016,-0.93989211405086,-0.720240197809961
1,72.3745373189449,55,NA,-0.937323400976111,-0.639703285058283
1,87.3391260802746,56,NA,-0.935268430516311,-0.692688096079124
3,60.8535444438457,57,92.0825500488281,-0.934754687901361,-0.561992228894384
1,102.314194887877,58,NA,-0.934754687901361,-0.539385376192158
3,59.2886947095394,59,84.3753662109375,-0.932185974826612,-0.599434828682444
3,162.20370747149,60,94.5759887695312,-0.931158489596712,-0.974567290709996
3,58.6154844462872,61,73.6518249511719,-0.927048548677113,-0.735075944895797
3,59.1668302714825,62,65.5560455322266,-0.926534806062163,-0.55987283645355
1,153.007365480065,63,NA,-0.924479835602363,-0.843164959378312
3,66.348934262991,64,68.9624862670898,-0.923452350372463,-0.578240904274108
