"coordinate_x","coordinate_y"
-1,-0.724478982691628
-0.99948625738505,-0.568350406216884
-0.99948625738505,-0.503355704697987
-0.9989725147701,-0.842458495231367
-0.9989725147701,-0.642529141646061
-0.99743128692525,-0.701165665842459
-0.9969175443103,-0.54433062522077
-0.996403801695351,-0.759802190038856
-0.993835088620601,-0.453196750264924
-0.991780118160801,-0.901095019427764
-0.991266375545852,-0.86153302719887
-0.991266375545852,-0.787354291769693
-0.990752632930902,-0.655245496291063
-0.990238890315952,-0.521723772518545
-0.984587721551503,-0.91451783821971
-0.984587721551503,-0.502649240551042
-0.984073978936553,-0.89261744966443
-0.982019008476753,-0.829742140586365
-0.981505265861803,-0.858707170611091
-0.980477780631903,-0.354998233839633
-0.979964038016954,-0.842458495231367
-0.978422810172104,-0.593076651359943
-0.976881582327254,-0.932179441893324
-0.974826611867454,-0.593076651359943
-0.973799126637555,-0.487813493465207
-0.971744156177755,-0.631932179441893
-0.970202928332905,-0.913811374072766
-0.966092987413306,-0.554927587424938
-0.965579244798356,-0.774637937124691
-0.964551759568456,-0.494878134934652
-0.961983046493707,-0.579653832567997
-0.960441818648857,-0.835393853761922
-0.959414333418957,-0.876368774284705
-0.958900590804007,-0.818438714235253
-0.958900590804007,-0.768986223949135
-0.957873105574107,-0.607205934298834
-0.956331877729258,-0.604380077711056
-0.955818135114308,-0.996467679265277
-0.955818135114308,-0.903214411868598
-0.954276907269458,-0.613564111621335
-0.952221936809658,-0.895443306252208
-0.952221936809658,-0.572589191098552
-0.951708194194708,-0.818438714235253
-0.949653223734909,-0.821264570823031
-0.948625738505009,-0.756269869304133
-0.947598253275109,-0.754856941010244
-0.94348831235551,-0.315436241610738
-0.94297456974056,-0.937124690921936
-0.94246082712561,-0.478629459554928
-0.94194708451066,-0.568350406216884
-0.94143334189571,-0.720946661956906
-0.94143334189571,-0.542211232779936
-0.94091959928076,-0.566937477922995
-0.93989211405086,-0.720240197809961
-0.937323400976111,-0.639703285058283
-0.935268430516311,-0.692688096079124
-0.934754687901361,-0.561992228894384
-0.934754687901361,-0.539385376192158
-0.932185974826612,-0.599434828682444
-0.931158489596712,-0.974567290709996
-0.927048548677113,-0.735075944895797
-0.926534806062163,-0.55987283645355
-0.924479835602363,-0.843164959378312
-0.923452350372463,-0.578240904274108
-0.922938607757513,-0.932885906040268
-0.922938607757513,-0.815612857647474
-0.922424865142564,-0.910279053338043
-0.921911122527614,-0.600847756976334
-0.920883637297714,-0.801483574708584
-0.917287438993065,-0.756976333451077
-0.917287438993065,-0.678558813140233
-0.913691240688415,-0.634758036029672
-0.911636270228615,-0.888378664782762
-0.910095042383766,-0.571176262804663
-0.907526329309016,-0.561285764747439
-0.905985101464166,-0.610738255033557
-0.904957616234267,-0.579653832567997
-0.903416388389417,-0.410808901448252
-0.900333932699717,-0.701165665842459
