"Degrees","Accessibility","node_ID"
1,345.687591269612,1
1,295.39242939651,2
3,294.953231528401,3
3,285.819067671895,4
1,301.96611662209,5
1,267.59793484211,6
1,302.750673606992,7
3,281.908696606755,8
1,289.745130375028,9
1,321.059667244554,10
1,311.093493893743,11
3,280.303780391812,12
3,260.623335957527,13
3,278.021581962705,14
1,304.152508750558,15
1,279.334244847298,16
1,260.933334469795,17
1,294.211777761579,18
1,292.143165245652,19
3,251.817365765572,20
3,291.083486691117,21
1,246.572478413582,22
1,377.378742180765,23
3,287.511181250215,24
3,274.962010458112,25
1,303.916684761643,26
3,274.262614622712,27
1,379.992377243936,28
1,285.646974146366,29
3,364.048455201089,30
1,431.459463253617,31
1,325.83551279828,32
3,238.557455182076,33
3,307.65111066401,34
3,285.375294700265,35
2,312.108017936349,36
3,315.911649718881,37
1,310.363546352834,38
3,290.188139460981,39
1,318.575106304139,40
1,310.339297991246,41
1,380.703787766397,42
3,306.375889044255,43
3,283.584108009934,44
3,295.481684699655,45
3,281.342100158334,46
1,323.874490957707,47
1,384.668921153992,48
3,314.529379528016,49
3,270.528102457523,50
1,289.65429033339,51
1,369.460245352238,52
3,321.007524710149,53
3,268.971272841096,54
3,303.819028597325,55
3,355.283085785806,56
1,303.451905503869,57
3,237.813390791416,58
1,399.992939215153,59
3,244.775886118412,60
1,243.280693911016,61
3,277.599431291223,62
3,275.469823494554,63
3,237.699251078069,64
3,378.081455450505,65
3,360.570930700749,66
1,362.953664522618,67
1,320.521712403744,68
3,353.25376483053,69
3,267.414624467492,70
1,409.631372671574,71
3,302.953378360718,72
1,325.067633789033,73
1,378.517930708826,74
3,273.573805108666,75
3,273.394548915327,76
1,293.064300119877,77
1,431.581159844995,78
1,369.408607684076,79
1,348.606732290238,80
3,270.785460725427,81
1,313.770989727229,82
3,298.72108290717,83
3,237.210100673139,84
3,331.50430194661,85
2,329.072491567582,86
1,372.625057898462,87
3,325.306350629777,88
1,352.076121967286,89
1,376.659295760095,90
1,378.668150167912,91
3,349.536489170045,92
3,315.108814816922,93
1,357.833358447999,94
